id,name,category,latitude,longitude
323,Sistar Seafood,Food,37.5185062,-77.3517361
324,Phoenix Fitness & Martial Arts,Food,37.6435302,-77.5717693
325,,Food,37.6398297,-77.5888494
326,7-Eleven,Food,37.6481528,-77.5817263
327,Kroger Convenience,Food,37.6532755,-77.6241201
328,Richmond Superbike,Food,37.5176693,-77.3465093
329,,Food,37.5950558,-77.5666738
330,Wawa,Food,37.6253179,-77.5316079
331,Gulfstream Seafood,Food,37.5856345,-77.4347742
332,Crafty Crab Seafood,Food,37.5441489,-77.3651711
333,Glen Allen Supermarket,Food,37.665707,-77.5060359
334,Bosna Market & Deli,Food,37.6268711,-77.5300477
335,,Food,37.6353755,-77.5461389
336,Martial Arts World,Food,37.5190104,-77.3530343
337,Rosie's Kitchen & Convenience Store,Food,37.518662,-77.3786985
338,Valero,Food,37.5187692,-77.373414
339,B & B Seafood,Food,37.5189409,-77.3665518
340,Hudson,Food,37.506949,-77.3313084
341,RVA Vapes,Food,37.5953465,-77.5095653
342,,Food,37.5527799,-77.4112605
343,Community Supermarket,Food,37.5529613,-77.4109491
344,,Food,37.5413979,-77.3754591
345,7-Eleven,Food,37.6298704,-77.5347293
346,Race Track Marketplace,Food,37.5847404,-77.4233608
347,,Food,37.586167,-77.4246889
348,S&M Deli Convenience,Food,37.5852099,-77.4283854
349,Gulfstream Seafood,Food,37.585483,-77.4344905
350,Loansmart,Food,37.5853872,-77.4255118
351,Quick N Easy,Food,37.6274673,-77.4579082
352,Quick Stop,Food,37.4702851,-77.3317081
353,Pinch's Soul Food & Catering,Food,37.5824944,-77.4235742
354,Asia Market,Food,37.6395369,-77.5586874
355,Snack Shop,Food,37.6358774,-77.5496947
356,Lotte Plaza Market,Food,37.6199802,-77.5273793
357,Lotte Food Court,Food,37.6197771,-77.5273242
358,Halal Market,Food,37.6371358,-77.5476181
359,,Food,37.6093027,-77.4468123
360,Master Cho's Martial Arts,Food,37.655702,-77.6121072
361,Schools,Education,37.69482797282955,-77.61432691625146
362,Schools,Education,37.672417758888855,-77.59963259450141
363,Schools,Education,37.65581783398749,-77.63912020000791
364,Schools,Education,37.64958038267085,-77.61198194695915
365,Schools,Education,37.63499001511321,-77.63246301806329
366,Schools,Education,37.60688360181044,-77.62817097971622
367,Schools,Education,37.60827617970573,-77.5793937476669
368,Schools,Education,37.602270706003814,-77.59009151063228
369,Schools,Education,37.593657732406854,-77.58235510737494
370,Schools,Education,37.584348084797746,-77.5531274176053
371,Schools,Education,37.60527972027637,-77.55956714251522
372,Schools,Education,37.60249307091602,-77.53880555136213
373,Schools,Education,37.60321086730511,-77.5050100397464
374,Schools,Education,37.60012138193676,-77.52026794324793
375,Schools,Education,37.61882287476326,-77.53627349436961
376,Schools,Education,37.64093573963957,-77.5465987951828
377,Schools,Education,37.668201573665,-77.5449926916536
378,Schools,Education,37.65722612617838,-77.56516983053979
379,Schools,Education,37.678372173112,-77.5232929653123
380,Schools,Education,37.63824365059544,-77.49180311106082
381,Schools,Education,37.654534759807056,-77.46400391370847
382,Schools,Education,37.619510461886875,-77.49013500635753
383,Schools,Education,37.61332128804352,-77.47885594983237
384,Schools,Education,37.63172039974236,-77.44216782083673
385,Schools,Education,37.59675331941751,-77.42832832446429
386,Schools,Education,37.58001020082744,-77.40095114325779
387,Schools,Education,37.568131129401756,-77.38938057890715
388,Schools,Education,37.571762448042634,-77.36409288040794
389,Schools,Education,37.53616451628517,-77.36594946455985
390,Schools,Education,37.542536380109865,-77.34062424472977
391,Schools,Education,37.533987109339584,-77.32044700147786
392,Schools,Education,37.53815766426202,-77.29285380481939
393,Schools,Education,37.524571127852035,-77.3127336218017
394,Schools,Education,37.516187806653065,-77.3047641254972
395,Schools,Education,37.51947767456031,-77.37634135554671
396,Schools,Education,37.482968530872036,-77.36738131953584
397,Schools,Education,37.46746978308153,-77.32456917548089
398,Schools,Education,37.4366106407093,-77.34520280280076
399,Schools,Education,37.44462450620371,-77.35458415466705
400,Schools,Education,37.63883425613155,-77.51899424913994
401,Schools,Education,37.62368148841297,-77.55840251979973
402,Schools,Education,37.687414496862324,-77.57982911991513
403,Schools,Education,37.67141524841663,-77.48719941362866
404,Schools,Education,37.66051232646886,-77.61402971647216
405,Schools,Education,37.57069307864444,-77.37943892059738
406,Schools,Education,37.6667369086766,-77.6098737774391
407,Schools,Education,37.6458744940825,-77.60828087310294
408,Schools,Education,37.60839590631079,-77.58185880398685
409,Schools,Education,37.608142441603725,-77.56022769770227
410,Schools,Education,37.62548707976464,-77.4813547256263
411,Schools,Education,37.64160455547604,-77.48172290549688
412,Schools,Education,37.6203408811311,-77.42166450993768
413,Schools,Education,37.54530536413047,-77.35976392090396
414,Schools,Education,37.47653255126091,-77.37301137178443
415,Schools,Education,37.657562151186276,-77.53726986068287
416,Schools,Education,37.503705560345395,-77.23254681183738
417,Schools,Education,37.68983912266094,-77.59022430346076
418,Schools,Education,37.61974090963101,-77.60480766436079
419,Schools,Education,37.601498009520135,-77.55853944137908
420,Schools,Education,37.60362754141677,-77.43150310247084
421,Schools,Education,37.53932007045532,-77.3241762442125
422,Schools,Education,37.47283598721254,-77.37686855818767
423,Schools,Education,37.66184114956885,-77.48175175014845
424,Schools,Education,37.63338452966313,-77.51705630385024
425,Schools,Education,37.62882559750662,-77.54834444228055
426,Schools,Education,37.675245118289624,-77.5992153805442
427,Schools,Education,37.66614474932515,-77.53417231040132
428,Schools,Education,37.692184462473705,-77.63176999011921
429,Libraries,Civic,37.56515874733671,-77.37662767045413
430,Libraries,Civic,37.60804155297477,-77.60733026054581
431,Libraries,Civic,37.66365494052221,-77.52763312260511
432,Libraries,Civic,37.64117036844954,-77.44024226132689
433,Libraries,Civic,37.52249544233967,-77.31241166054215
434,Libraries,Civic,37.61032347219855,-77.56704746864264
435,Libraries,Civic,37.67589601943928,-77.59508261238621
436,Libraries,Civic,37.5902569010104,-77.49655864502458
437,Libraries,Civic,37.459126727399656,-77.38037014332876
